Date,Open,High,Low,Close
2024-09-12,1.1118,1.11773,1.11037,1.11721
2024-09-13,1.11718,1.11742,1.10984,1.11349
2024-09-16,1.11311,1.11712,1.11175,1.11664
2024-09-17,1.11666,1.11843,1.11264,1.11518
2024-09-18,1.11522,1.11879,1.11203,1.11804
2024-09-19,1.11793,1.12768,1.11717,1.12605
2024-09-20,1.12598,1.13354,1.12408,1.13262
2024-09-23,1.13227,1.13427,1.12772,1.1311
2024-09-24,1.13103,1.13544,1.12968,1.13135
2024-09-25,1.13119,1.13703,1.12777,1.13301
2024-09-26,1.13307,1.13697,1.1307,1.13489
2024-09-27,1.13472,1.13633,1.12406,1.12453
2024-09-30,1.1245,1.13281,1.12406,1.13109
2024-10-01,1.13111,1.13392,1.12023,1.1246
2024-10-02,1.12426,1.12953,1.12077,1.12743
2024-10-03,1.12737,1.12832,1.11208,1.1187
2024-10-04,1.11886,1.12758,1.11668,1.12688
2024-10-07,1.12647,1.12782,1.1158,1.11814
2024-10-08,1.11818,1.12456,1.11526,1.1236
2024-10-09,1.12353,1.12558,1.1195,1.125
2024-10-10,1.12501,1.12579,1.11639,1.1184
2024-10-11,1.11843,1.12203,1.11813,1.11988
2024-10-14,1.12048,1.12764,1.11946,1.12656
2024-10-15,1.1266,1.12931,1.12477,1.1272
2024-10-16,1.12718,1.12798,1.11929,1.1239
2024-10-17,1.1239,1.12781,1.12254,1.12708
2024-10-18,1.12707,1.13196,1.12681,1.12843
2024-10-21,1.12888,1.12932,1.12365,1.12465
2024-10-22,1.12467,1.12599,1.12085,1.12365
2024-10-23,1.12366,1.12719,1.11905,1.11936
2024-10-24,1.11935,1.12504,1.11861,1.12335
2024-10-25,1.1233,1.12665,1.12154,1.12299
2024-10-28,1.12516,1.12713,1.12174,1.12187
2024-10-29,1.12188,1.13012,1.12098,1.12871
2024-10-30,1.12869,1.13005,1.12237,1.12268
2024-10-31,1.12266,1.12532,1.1109,1.11418
2024-11-01,1.11423,1.12809,1.11325,1.12389
2024-11-04,1.12414,1.12506,1.11688,1.11989
2024-11-05,1.1198,1.12648,1.11844,1.125
2024-11-06,1.1249,1.13066,1.12194,1.12834
2024-11-07,1.12818,1.13508,1.12798,1.13277
2024-11-08,1.1329,1.1334,1.1279,1.13133
2024-11-11,1.13097,1.13411,1.13097,1.13359
2024-11-12,1.13346,1.13387,1.12355,1.12423
2024-11-13,1.12415,1.12648,1.12234,1.12599
2024-11-14,1.12593,1.12839,1.12427,1.12727
2024-11-15,1.12731,1.12822,1.11898,1.11983
2024-11-18,1.12065,1.12244,1.11795,1.1201
2024-11-19,1.12006,1.12069,1.11265,1.11907
2024-11-20,1.11904,1.12397,1.11786,1.11856
2024-11-21,1.11858,1.11867,1.11468,1.11657
2024-11-22,1.11646,1.12119,1.11087,1.12053
2024-11-25,1.12161,1.12249,1.11304,1.11419
2024-11-26,1.114,1.11645,1.11183,1.11434
2024-11-27,1.11411,1.1188,1.11189,1.11825
2024-11-28,1.11823,1.12073,1.11789,1.12004
2024-11-29,1.12034,1.12225,1.11663,1.12222
2024-12-02,1.12136,1.12628,1.12001,1.12222
2024-12-03,1.1223,1.12502,1.11879,1.1232
2024-12-04,1.12313,1.12569,1.12086,1.12319
2024-12-05,1.12331,1.12638,1.11993,1.12086
2024-12-06,1.12087,1.1223,1.11753,1.1196
2024-12-09,1.1202,1.12375,1.11934,1.1203
2024-12-10,1.12021,1.12804,1.1188,1.12724
2024-12-11,1.12734,1.12853,1.12454,1.12725
2024-12-12,1.12722,1.13464,1.12582,1.13056
2024-12-13,1.13069,1.13109,1.12608,1.12658
2024-12-16,1.12627,1.1351,1.12512,1.13394
2024-12-17,1.13384,1.13954,1.13333,1.13483
2024-12-18,1.13487,1.13708,1.13228,1.13322
2024-12-19,1.13334,1.13595,1.12274,1.12406
2024-12-20,1.12402,1.12527,1.11737,1.12288
2024-12-23,1.12111,1.12729,1.12111,1.12681
2024-12-24,1.12693,1.13145,1.1259,1.12723
2024-12-26,1.12906,1.12915,1.12576,1.12602
2024-12-27,1.12586,1.13502,1.12549,1.13501
2024-12-30,1.13404,1.13797,1.1334,1.13343
2024-12-31,1.13397,1.13693,1.13262,1.13534
2025-01-02,1.13418,1.13657,1.12588,1.12941
2025-01-03,1.12932,1.1309,1.12665,1.12947
2025-01-06,1.12891,1.13329,1.12872,1.13267
2025-01-07,1.1327,1.13792,1.1321,1.13463
2025-01-08,1.13466,1.13607,1.1229,1.12635
2025-01-09,1.12629,1.12663,1.11758,1.12296
2025-01-10,1.12293,1.12585,1.11827,1.11923
2025-01-13,1.11897,1.12145,1.10935,1.12145
2025-01-14,1.12149,1.12149,1.11285,1.11465
2025-01-15,1.11456,1.11954,1.11048,1.11726
2025-01-16,1.11718,1.11723,1.11091,1.11462
2025-01-17,1.11464,1.11504,1.10885,1.11361
2025-01-20,1.11323,1.11904,1.11132,1.11807
2025-01-21,1.11766,1.11933,1.11345,1.11823
2025-01-22,1.1182,1.11963,1.11528,1.1162
2025-01-23,1.1162,1.12145,1.11537,1.12087
2025-01-24,1.12087,1.13137,1.12044,1.13115
2025-01-27,1.13016,1.13052,1.121,1.12721
2025-01-28,1.12721,1.12857,1.12397,1.12496
2025-01-29,1.12486,1.13004,1.12423,1.12893
2025-01-30,1.1289,1.13215,1.12732,1.12948
2025-01-31,1.12949,1.13187,1.12734,1.12934
2025-02-03,1.1252,1.13393,1.12287,1.13239
2025-02-04,1.13246,1.13361,1.12754,1.12958
2025-02-05,1.12963,1.13134,1.12627,1.12727
2025-02-06,1.12723,1.12781,1.11937,1.12509
2025-02-07,1.12508,1.13142,1.12486,1.12858
2025-02-10,1.12737,1.13087,1.12626,1.1268
2025-02-11,1.12695,1.13705,1.12453,1.13594
2025-02-12,1.13603,1.1381,1.13223,1.13671
2025-02-13,1.13669,1.14034,1.13065,1.13519
2025-02-14,1.13502,1.13768,1.13178,1.13242
2025-02-17,1.13163,1.13828,1.13163,1.13718
2025-02-18,1.137,1.14235,1.13459,1.14146
2025-02-19,1.1415,1.14233,1.13569,1.13778
2025-02-20,1.13771,1.13904,1.13631,1.13765
2025-02-21,1.1376,1.13954,1.13295,1.13315
2025-02-24,1.135,1.13743,1.13099,1.13313
2025-02-25,1.13293,1.13382,1.12859,1.13129
2025-02-26,1.13113,1.1356,1.13009,1.13425
2025-02-27,1.13415,1.13916,1.1334,1.13395
2025-02-28,1.13397,1.13865,1.13104,1.13574
2025-03-03,1.13676,1.14307,1.13433,1.13924
2025-03-04,1.13924,1.13976,1.1299,1.13776
2025-03-05,1.13773,1.14987,1.13621,1.14851
2025-03-06,1.14811,1.15031,1.13737,1.13819
2025-03-07,1.13818,1.1387,1.132,1.13726
2025-03-10,1.13529,1.13774,1.1305,1.13389
2025-03-11,1.13386,1.14402,1.13017,1.14343
2025-03-12,1.14342,1.1464,1.1396,1.14302
2025-03-13,1.14307,1.14649,1.14015,1.1434
2025-03-14,1.14342,1.14694,1.14197,1.14445
2025-03-17,1.14333,1.14588,1.14278,1.14433
2025-03-18,1.14434,1.14494,1.13865,1.13991
2025-03-19,1.13993,1.14227,1.13657,1.14022
2025-03-20,1.14022,1.14605,1.13701,1.14289
2025-03-21,1.14292,1.14422,1.13867,1.14104
2025-03-24,1.14079,1.14328,1.13975,1.14057
2025-03-25,1.14056,1.14318,1.13892,1.14251
2025-03-26,1.14254,1.14422,1.13802,1.13806
2025-03-27,1.13806,1.14455,1.13801,1.14128
2025-03-28,1.14129,1.14393,1.13929,1.14032
2025-03-31,1.13927,1.14325,1.13822,1.14215
2025-04-01,1.14199,1.14264,1.13738,1.14148
2025-04-02,1.14183,1.1485,1.14071,1.14673
2025-04-03,1.14639,1.14641,1.12391,1.12516
2025-04-04,1.12501,1.1255,1.10222,1.10948
2025-04-07,1.09846,1.11228,1.09018,1.09374
2025-04-08,1.09383,1.09766,1.08092,1.08238
2025-04-09,1.08242,1.10033,1.06905,1.09911
2025-04-10,1.0987,1.104,1.06815,1.06933
2025-04-11,1.06956,1.07451,1.06127,1.06634
2025-04-14,1.07248,1.08637,1.06775,1.07407
2025-04-15,1.07432,1.08989,1.07371,1.08835
2025-04-16,1.0884,1.08865,1.07591,1.07686
2025-04-17,1.0769,1.09104,1.07634,1.08686
2025-04-21,1.08548,1.08548,1.07831,1.08115
2025-04-22,1.08129,1.09539,1.08121,1.09502
2025-04-23,1.09574,1.10181,1.0915,1.10095
2025-04-24,1.10053,1.10436,1.09729,1.10253
2025-04-25,1.10234,1.10753,1.10206,1.10287
2025-04-28,1.1024,1.10872,1.10026,1.10226
2025-04-29,1.10242,1.1075,1.10233,1.10492
2025-04-30,1.10484,1.10545,1.09534,1.10091
2025-05-01,1.10146,1.10726,1.099,1.10182
2025-05-02,1.10151,1.10436,1.09233,1.09738
2025-05-05,1.09557,1.09914,1.09267,1.09355
2025-05-06,1.09339,1.10465,1.0925,1.0997
2025-05-07,1.09945,1.10408,1.09212,1.09483
2025-05-08,1.09481,1.1034,1.09413,1.10184
2025-05-09,1.10153,1.10675,1.09949,1.10618
2025-05-12,1.10748,1.11595,1.10716,1.11433
2025-05-13,1.11387,1.11902,1.10927,1.11671
2025-05-14,1.11671,1.11829,1.11176,1.11642
2025-05-15,1.11647,1.11685,1.11024,1.11258
2025-05-16,1.11245,1.11422,1.10904,1.11399
2025-05-19,1.11168,1.1162,1.10978,1.11522
2025-05-20,1.1152,1.11619,1.10835,1.10915
2025-05-21,1.10909,1.1102,1.10401,1.10669
2025-05-22,1.10685,1.11358,1.10636,1.11239
2025-05-23,1.11259,1.11591,1.10758,1.11098
2025-05-26,1.11032,1.11597,1.11032,1.11303
2025-05-27,1.11297,1.1207,1.11207,1.11812
2025-05-28,1.11813,1.11886,1.1119,1.11401
2025-05-29,1.11395,1.12024,1.10928,1.11005
2025-05-30,1.10943,1.11151,1.1061,1.10844
2025-06-02,1.10711,1.11009,1.10499,1.10653
2025-06-03,1.10669,1.1149,1.10504,1.11326
2025-06-04,1.11346,1.11535,1.10845,1.10926
2025-06-05,1.109,1.11558,1.10836,1.11247
2025-06-06,1.11252,1.11555,1.11155,1.11214
2025-06-09,1.1119,1.1145,1.11117,1.11344
2025-06-10,1.11342,1.11458,1.10692,1.11077
2025-06-11,1.11086,1.11242,1.10814,1.1113
2025-06-12,1.1113,1.11134,1.1022,1.10361
2025-06-13,1.10356,1.10409,1.09335,1.10045
2025-06-16,1.09901,1.10622,1.09901,1.10473
2025-06-17,1.10474,1.10551,1.09472,1.09608
2025-06-18,1.09595,1.10143,1.09582,1.09862
2025-06-19,1.09858,1.10119,1.09519,1.09964
2025-06-20,1.09941,1.10357,1.0983,1.10001
2025-06-23,1.0961,1.09953,1.09401,1.09857
2025-06-24,1.09872,1.10396,1.09535,1.09613
2025-06-25,1.09627,1.10044,1.0955,1.09937
2025-06-26,1.09945,1.10191,1.09651,1.09838
2025-06-27,1.09859,1.1006,1.09393,1.09625
2025-06-30,1.09604,1.09652,1.08789,1.08907
2025-07-01,1.08897,1.08948,1.08363,1.08745
2025-07-02,1.08745,1.08835,1.07575,1.08117
2025-07-03,1.0809,1.08678,1.07836,1.08588
2025-07-04,1.0857,1.08616,1.08163,1.08536
2025-07-07,1.08457,1.08741,1.08143,1.0861
2025-07-08,1.08611,1.08673,1.0804,1.08169
2025-07-09,1.08146,1.08422,1.07811,1.07888
2025-07-10,1.0788,1.08245,1.07758,1.08202
2025-07-11,1.08201,1.08242,1.07436,1.07567
2025-07-14,1.07532,1.07564,1.07082,1.0717
2025-07-15,1.07181,1.07402,1.0692,1.07307
2025-07-16,1.07304,1.07818,1.07141,1.07452
2025-07-17,1.07443,1.08069,1.0739,1.07948
2025-07-18,1.07951,1.07956,1.07431,1.07525
2025-07-21,1.07434,1.07786,1.07417,1.07676
2025-07-22,1.07684,1.07738,1.07134,1.0719
2025-07-23,1.07183,1.07821,1.07179,1.07627
2025-07-24,1.07635,1.07719,1.07314,1.0744
2025-07-25,1.07451,1.07546,1.06734,1.0683
2025-07-28,1.06927,1.07773,1.06806,1.07305
2025-07-29,1.07304,1.07688,1.07182,1.07613
2025-07-30,1.07566,1.08019,1.07432,1.07867
2025-07-31,1.07862,1.07916,1.07234,1.07249
2025-08-01,1.07241,1.07594,1.0665,1.06767
2025-08-04,1.06781,1.07684,1.06666,1.07287
2025-08-05,1.07291,1.07798,1.07218,1.0738
2025-08-06,1.07351,1.0783,1.07318,1.07724
2025-08-07,1.07724,1.08634,1.07577,1.08354
2025-08-08,1.08381,1.08725,1.08332,1.08709
2025-08-11,1.08562,1.09175,1.08542,1.0907
2025-08-12,1.0908,1.09288,1.08793,1.0886
2025-08-13,1.08859,1.09399,1.088,1.09271
2025-08-14,1.09277,1.09605,1.09243,1.09278
2025-08-15,1.09271,1.0936,1.09049,1.09334
2025-08-18,1.0935,1.09409,1.08969,1.09065
2025-08-19,1.09072,1.09089,1.08761,1.08935
2025-08-20,1.08946,1.09187,1.08087,1.08172
2025-08-21,1.08159,1.08605,1.08151,1.08439
2025-08-22,1.0845,1.08629,1.0824,1.08323
2025-08-25,1.08381,1.08569,1.08241,1.08416
2025-08-26,1.0843,1.08658,1.08225,1.08341
2025-08-27,1.08313,1.0848,1.08157,1.08262
2025-08-28,1.08267,1.08425,1.08091,1.08267
2025-08-29,1.08259,1.0843,1.07825,1.08143
2025-09-01,1.0806,1.08591,1.08057,1.08434
2025-09-02,1.08448,1.08498,1.07429,1.07769
2025-09-03,1.07743,1.08167,1.07519,1.08165
2025-09-04,1.08093,1.08376,1.07983,1.08221
2025-09-05,1.0822,1.08351,1.07707,1.07793
2025-09-08,1.07693,1.07855,1.07418,1.07474
2025-09-09,1.07469,1.07907,1.0743,1.07835
2025-09-10,1.07832,1.08182,1.07756,1.08096
2025-09-11,1.08094,1.08151,1.07826,1.08073
2025-09-12,1.0807,1.08087,1.07888,1.07983
2025-09-15,1.08018,1.08287,1.07952,1.08098
2025-09-16,1.08101,1.0812,1.07225,1.07307
2025-09-17,1.07311,1.07595,1.07269,1.07538
2025-09-18,1.07496,1.07691,1.07274,1.07414
2025-09-19,1.07411,1.07485,1.071,1.07171
2025-09-22,1.07093,1.07342,1.07013,1.07106
2025-09-23,1.07114,1.07247,1.06875,1.07009
2025-09-24,1.06986,1.07116,1.06708,1.06904
2025-09-25,1.06905,1.07164,1.06644,1.06728
2025-09-26,1.06742,1.07054,1.06675,1.06935
2025-09-29,1.06908,1.07301,1.06897,1.07091
2025-09-30,1.07098,1.07243,1.06881,1.07062
2025-10-01,1.0708,1.07798,1.06817,1.07446
2025-10-02,1.07439,1.07568,1.07088,1.07221
2025-10-03,1.07221,1.0734,1.07028,1.07244
2025-10-06,1.07102,1.07431,1.07013,1.07191
2025-10-07,1.07185,1.07299,1.06968,1.07225
2025-10-08,1.07223,1.07626,1.07141,1.0748
2025-10-09,1.0745,1.07503,1.06986,1.07258
2025-10-10,1.073,1.07339,1.06752,1.06948
2025-10-13,1.06818,1.07351,1.06812,1.07221
2025-10-14,1.07216,1.0734,1.06524,1.06666
2025-10-15,1.06648,1.07016,1.06597,1.06779
2025-10-16,1.06752,1.07321,1.06452,1.06508
2025-10-17,1.06519,1.06533,1.05847,1.06504
2025-10-20,1.06465,1.06637,1.06064,1.06228
2025-10-21,1.06233,1.06549,1.06025,1.06423
2025-10-22,1.06422,1.06532,1.05989,1.06263
2025-10-23,1.0628,1.06557,1.05915,1.06014
2025-10-24,1.05998,1.06122,1.05743,1.05873
2025-10-27,1.06101,1.06258,1.05946,1.06029
2025-10-28,1.06032,1.06091,1.05234,1.05301
2025-10-29,1.05301,1.05649,1.05046,1.05526
2025-10-30,1.05526,1.05621,1.05273,1.05443
2025-10-31,1.05437,1.05853,1.05326,1.05823
2025-11-03,1.05766,1.06218,1.05662,1.0615
2025-11-04,1.06139,1.06263,1.05401,1.05536
2025-11-05,1.05536,1.05829,1.05168,1.05747
2025-11-06,1.05748,1.06042,1.05601,1.05914
2025-11-07,1.05916,1.0604,1.0562,1.05977
2025-11-10,1.05958,1.06201,1.05906,1.06062
2025-11-11,1.06051,1.06109,1.05199,1.05262
2025-11-12,1.05275,1.05315,1.04523,1.04754
2025-11-13,1.04762,1.04873,1.04363,1.0439
2025-11-14,1.04399,1.04576,1.03636,1.04557
2025-11-17,1.04531,1.04928,1.0444,1.04737
2025-11-18,1.04713,1.05182,1.04425,1.05143
2025-11-19,1.05124,1.05498,1.04981,1.05181
2025-11-20,1.052,1.05774,1.05128,1.05337
2025-11-21,1.05354,1.05992,1.05127,1.05849
2025-11-24,1.05897,1.06051,1.05534,1.05964
2025-11-25,1.05969,1.06614,1.0593,1.06346
2025-11-26,1.06305,1.06662,1.05937,1.06466
2025-11-27,1.0646,1.06749,1.06379,1.06541
2025-11-28,1.06541,1.06661,1.06294,1.06362
2025-12-01,1.06356,1.0642,1.06058,1.06313
2025-12-02,1.06293,1.06378,1.06047,1.06102
2025-12-03,1.06101,1.06856,1.06061,1.06748
2025-12-04,1.06754,1.07174,1.06704,1.07047
2025-12-05,1.07046,1.07369,1.07046,1.07227
2025-12-08,1.07195,1.07615,1.0703,1.07459
2025-12-09,1.07459,1.07607,1.07175,1.07245
2025-12-10,1.07244,1.07331,1.06908,1.07057
2025-12-11,1.07051,1.07067,1.06366,1.06436
2025-12-12,1.06468,1.06504,1.06213,1.06425
2025-12-15,1.0634,1.0662,1.06319,1.06506
2025-12-16,1.06488,1.06877,1.06334,1.06737
2025-12-17,1.06737,1.06787,1.0614,1.06414
